Vehicle_Density,Penetration_Rate,Algorithm,Run,EAR_Mean,EAR_Median,CBR_Mean,CBR_Median,AOI_Mean,AOI_Median,CPM_Size_Mean,CPM_Size_Median
30,0.05,NO_FORWARDING,0,0.3317115455863678,0.3384615384615385,0.004158262205430609,0.004475816993464066,900.1466666666645,900.1466666666645,2.7591776798825256,2.0
30,0.05,NO_FORWARDING,1,0.39274167318975295,0.4022346368715084,0.004513030162532346,0.004903286384976539,1000.1333333333342,1000.1333333333342,2.787037037037037,3.0
30,0.05,MULTI_HOP,0,0.4083894179616907,0.4157303370786517,0.007317515571194952,0.007858953168044075,933.4266666666668,900.08,2.739480752014324,2.0
30,0.05,MULTI_HOP,1,0.4839288868635631,0.48641304347826086,0.015956643492801573,0.017162762762762837,241.69873417721493,200.18666666666542,5.816037735849057,5.0
30,0.1,NO_FORWARDING,0,0.4969388210589596,0.5070671378091873,0.013990604184202731,0.01536150234741783,915.9108771929825,900.0933333333334,2.7414907367514,2.0
30,0.1,NO_FORWARDING,1,0.4875622049593881,0.5044052863436124,0.021731411632573094,0.02325925925925937,255.69401666666658,200.18666666666542,5.815493544356518,5.0
30,0.1,MULTI_HOP,0,0.5382481561984966,0.5539823008849557,0.014973476773083168,0.016316939890710355,912.6333333333336,900.1733333333331,2.8113598673300166,2.0
30,0.1,MULTI_HOP,1,0.5397164302991964,0.549079754601227,0.034996638637847945,0.03779699699699716,296.0705748282218,200.2000000000006,6.714444753687726,6.0
30,0.25,NO_FORWARDING,0,0.6804346572614409,0.7134791813690896,0.03824515769436202,0.04170516431924939,921.5415873015871,900.1066666666659,2.567883673146831,2.0
30,0.25,NO_FORWARDING,1,0.6857648710926328,0.6951724137931035,0.04004184002663566,0.04359694656488507,892.9733333333332,900.1333333333332,2.734995236583042,2.0
30,0.25,MULTI_HOP,0,0.7555481709938526,0.7920289855072464,0.10128807521473243,0.10844885496183196,328.85082077298233,200.37333333333328,11.912097111762243,11.0
30,0.25,MULTI_HOP,1,0.7558796687090926,0.7807017543859649,0.12320535970631742,0.1313421245421246,338.0362694377712,200.52000000000004,13.05385680130867,12.0
30,0.5,NO_FORWARDING,0,0.4202268665488778,0.4350580781414995,0.02997727674167992,0.03199569892473112,266.59198979591844,200.42666666666608,9.638400702987697,7.0
30,0.5,NO_FORWARDING,1,0.47518176322408767,0.48377281947261663,0.03804164044479309,0.04070891089108932,266.51313325330136,200.33333333333303,10.597685022799018,9.0
30,0.5,MULTI_HOP,0,0.41951006978277433,0.43005181347150256,0.022347263179458635,0.024290196078431307,903.4577777777777,900.1333333333328,3.8444084278768234,3.0
30,0.5,MULTI_HOP,1,0.5007888936384854,0.5353535353535354,0.024632711338967127,0.02698901098901126,928.0232558139531,900.1199999999993,4.435176507341456,4.0
60,0.05,NO_FORWARDING,0,0.8017855376047149,0.8361252731245448,0.07107544662795953,0.07643943661971898,929.4486206896546,1000.093333333333,2.783378061053338,2.0
60,0.05,NO_FORWARDING,1,0.8284197355218486,0.8667673716012084,0.08930905060117209,0.09749597069596457,917.3339344262296,900.1333333333328,2.7015811641234553,2.0
60,0.05,MULTI_HOP,0,0.9018467074117371,0.9434202161474888,0.3319704240752488,0.3546402930402883,371.7855700219674,300.2666666666665,18.346408740820348,17.0
60,0.05,MULTI_HOP,1,0.8932708985524994,0.9344109418713087,0.3383376643985141,0.3651591591591543,386.84276629347835,300.4266666666666,18.958209487575793,18.0
60,0.1,NO_FORWARDING,0,0.6328766376389583,0.6529982363315696,0.13313929731353863,0.13979259259259216,338.8694085526988,200.70666666666614,19.84291062998535,19.0
60,0.1,NO_FORWARDING,1,0.6244128992196906,0.6524990161353798,0.04556830993693276,0.04966557377049202,871.0294545454544,900.08,4.03926282051282,3.0
60,0.1,MULTI_HOP,0,0.6510017918174025,0.681719496309162,0.12789382172978414,0.13512529550827446,329.07528127536835,200.5866666666667,19.26091142490372,18.0
60,0.1,MULTI_HOP,1,0.6536045794052294,0.6747997086671522,0.052813457629855946,0.0573267759562842,908.0562601626013,900.1066666666663,4.317087322309255,4.0
60,0.25,NO_FORWARDING,0,0.803350546113332,0.8417513938996393,0.11180891913235515,0.12208205128204798,902.6362174940898,900.1333333333328,4.375203031943692,4.0
60,0.25,NO_FORWARDING,1,0.7934496858952287,0.8339762382348404,0.11733714648631395,0.1279320261437906,910.1620289855065,900.1999999999981,4.327558025498529,4.0
60,0.25,MULTI_HOP,0,0.8777332052470073,0.9216370558375635,0.5793765826133669,0.6249645645645657,381.3972484138428,300.58666666666767,37.19092139254521,34.0
60,0.25,MULTI_HOP,1,0.8921374023571638,0.9359776168531929,0.5930520448519137,0.6367655913978473,377.99699152001665,300.58666666666767,37.999330533747184,36.0
60,0.5,NO_FORWARDING,0,0.9079222416210813,0.9539669421487603,0.6472175781148324,0.700027480916028,383.9056380527595,300.2533333333339,34.77814502186515,34.0
60,0.5,NO_FORWARDING,1,0.9107529233813376,0.9554308071787021,0.6470888014211433,0.7000313725490165,396.8599949453311,300.78666666666675,37.04670787422736,35.0
60,0.5,MULTI_HOP,0,0.8656939983635686,0.9119253718799899,0.22270355963241256,0.2428065573770372,897.3839813193224,900.2000000000002,4.147928599973358,4.0
60,0.5,MULTI_HOP,1,0.8676186352641231,0.9127784100146318,0.2306594685412147,0.24955725190838146,905.6888613691088,900.1733333333331,4.270500249293668,4.0
