Vehicle_Density,Penetration_Rate,Algorithm,Run,EAR_Mean,EAR_Median,CBR_Mean,CBR_Median,AOI_Mean,AOI_Median,CPM_Size_Mean,CPM_Size_Median
30,0.05,NO_FORWARDING,0,0.36047782881519486,0.3630952380952381,0.0061233615241231545,0.006546556473829212,0,0,3.5277449822904368,3.0
30,0.05,NO_FORWARDING,1,0.38682424804952686,0.3902439024390244,0.007846077845381256,0.008390123456790136,0,0,4.313746065057712,4.0
30,0.05,NO_FORWARDING,2,0.36432312300245207,0.35802469135802467,0.0065654437076469,0.0070450450450450265,0,0,2.4693486590038316,2.0
30,0.05,NO_FORWARDING,3,0.45563631322682124,0.47346938775510206,0.007008349535569517,0.007575091575091569,0,0,2.9856184084372,2.0
30,0.05,NO_FORWARDING,4,0.4192654624905006,0.423963133640553,0.007481390180217001,0.008017486338797803,0,0,3.514181152790485,3.0
30,0.05,NO_FORWARDING,5,0.445155761751584,0.4642857142857143,0.0068152040924601065,0.00752087912087912,0,0,2.9319227230910765,3.0
30,0.05,NO_FORWARDING,6,0.3981286881172205,0.4015748031496063,0.007230226268546275,0.007636630036630023,0,0,2.7116279069767444,2.0
30,0.05,NO_FORWARDING,7,0.40435331208533115,0.4115384615384615,0.0067847529255966165,0.0072590163934426275,0,0,2.6515837104072397,2.0
30,0.05,NO_FORWARDING,8,0.4260638750327079,0.4230769230769231,0.007922058982813082,0.008435643564356424,0,0,2.6666666666666665,2.0
30,0.05,NO_FORWARDING,9,0.48889415443901313,0.511400651465798,0.007456997420143907,0.00827106227106227,0,0,3.0345963756177925,3.0
30,0.05,MULTI_HOP,0,0.4570782097213366,0.46204620462046203,0.008332889602129752,0.008918309859154904,0,0,2.74198250728863,2.0
30,0.05,MULTI_HOP,1,0.45891779223651075,0.475,0.013758069557118164,0.014698412698412704,0,0,5.394587791063562,4.0
30,0.05,MULTI_HOP,2,0.4415541682709311,0.4462025316455696,0.009534871554222514,0.010426291079812184,0,0,2.5804847731510256,2.0
30,0.05,MULTI_HOP,3,0.4061579791075512,0.3955431754874652,0.013969055498439385,0.01468571428571431,0,0,4.205677867902665,3.0
30,0.05,MULTI_HOP,4,0.45200819042411416,0.4410480349344978,0.009251724216566892,0.009750495049504955,0,0,4.669362084456424,4.0
30,0.05,MULTI_HOP,5,0.46422599038046714,0.48614609571788414,0.015647445262566596,0.016835261707989047,0,0,4.354967548676984,4.0
30,0.05,MULTI_HOP,6,0.4817621706526966,0.4816326530612245,0.012944218742990279,0.014075117370891984,0,0,2.8316831683168315,2.0
30,0.05,MULTI_HOP,7,0.4219843749158712,0.42805755395683454,0.009515897927742371,0.010356807511737075,0,0,3.924597364568082,3.0
30,0.05,MULTI_HOP,8,0.4905749317088961,0.482837528604119,0.018736473813649724,0.019799267399267444,0,0,5.015954950727358,4.0
30,0.05,MULTI_HOP,9,0.4928733280162472,0.4968421052631579,0.012810022825769343,0.013895970695970681,0,0,2.8113396889111892,2.0
30,0.1,NO_FORWARDING,0,0.4725966583656152,0.49379652605459057,0.016869551466441857,0.018024242424242443,0,0,4.664941176470588,4.0
30,0.1,NO_FORWARDING,1,0.5188102400746902,0.528,0.012113883340702986,0.01297897897897897,0,0,2.657446808510638,2.0
30,0.1,NO_FORWARDING,2,0.48004847243867843,0.49671772428884026,0.012525154816853703,0.013599999999999994,0,0,2.8181818181818183,2.0
30,0.1,NO_FORWARDING,3,0.557231595434922,0.5830508474576271,0.014437845815196578,0.015857875457875523,0,0,2.788874841972187,3.0
30,0.1,NO_FORWARDING,4,0.5184032100443883,0.5301204819277109,0.016180352227214503,0.017626373626373662,0,0,2.6981205951448706,2.0
30,0.1,NO_FORWARDING,5,0.4708680755664696,0.4927536231884058,0.015449346180971895,0.01706477541371172,0,0,2.675675675675676,2.0
30,0.1,NO_FORWARDING,6,0.5227820647621942,0.5284552845528455,0.017315162017689602,0.018753113553113633,0,0,2.7751076040172165,2.0
30,0.1,NO_FORWARDING,7,0.5522328703610062,0.5624103299856528,0.018819272956739526,0.020545054945055017,0,0,2.5572202741472743,2.0
30,0.1,NO_FORWARDING,8,0.473083282887699,0.4750733137829912,0.016109945736912348,0.017701960784313707,0,0,5.137745098039216,4.0
30,0.1,NO_FORWARDING,9,0.5707014631610243,0.5947302383939774,0.02080767996679689,0.022621596244131466,0,0,2.7030976037405026,2.0
30,0.1,MULTI_HOP,0,0.5188342924632449,0.5309973045822103,0.01910182651444787,0.020674178403755857,0,0,2.7606050641236437,2.0
30,0.1,MULTI_HOP,1,0.502341390650737,0.5092250922509225,0.025226814407158352,0.027399267399267558,0,0,5.808349769888231,5.0
30,0.1,MULTI_HOP,2,0.5537603749709524,0.5707547169811321,0.035403917665607194,0.03821563786008253,0,0,7.241229431853462,6.0
30,0.1,MULTI_HOP,3,0.5455606057090205,0.5540983606557377,0.0385466575348552,0.04063296703296718,0,0,6.382165605095541,5.0
30,0.1,MULTI_HOP,4,0.571142229082198,0.5893805309734513,0.030627846249050104,0.032116431924882574,0,0,9.60979174278407,8.0
30,0.1,MULTI_HOP,5,0.5657564226719617,0.6327345309381237,0.026236332214705248,0.028287603305785218,0,0,6.666288737717309,5.0
30,0.1,MULTI_HOP,6,0.5404638711433398,0.5494350282485876,0.03563486260536128,0.038751155115511755,0,0,7.623633677991138,7.0
30,0.1,MULTI_HOP,7,0.5304116523802833,0.5341098169717138,0.02803566117644556,0.03014379084967325,0,0,6.244817374136229,5.0
30,0.1,MULTI_HOP,8,0.5559145935229832,0.5630498533724341,0.034570600648414745,0.03689201877934285,0,0,6.992759452936444,6.0
30,0.1,MULTI_HOP,9,0.6428340878012287,0.6730279898218829,0.04977733474451565,0.053882926829268186,0,0,9.43208056988455,8.0
30,0.25,NO_FORWARDING,0,0.6866897090070158,0.7135176651305684,0.03307530272747595,0.036079120879121414,0,0,2.7093808630394,2.0
30,0.25,NO_FORWARDING,1,0.6625490628770608,0.6873040752351097,0.03360678125592479,0.037056410256410745,0,0,2.5738862730894603,2.0
30,0.25,NO_FORWARDING,2,0.6749775727862335,0.7217868338557993,0.03464017436193944,0.03826382978723408,0,0,2.73001808318264,2.0
30,0.25,NO_FORWARDING,3,0.6922496013355006,0.7259615384615384,0.037917779554136555,0.04180659340659397,0,0,2.7326097681302417,2.0
30,0.25,NO_FORWARDING,4,0.6877403302780838,0.7127319257837492,0.04087225069139646,0.044495774647887905,0,0,2.7083147404432544,2.0
30,0.25,NO_FORWARDING,5,0.6720900525071704,0.6944655041698257,0.03532633369003091,0.03883934426229539,0,0,2.799750800996796,2.0
30,0.25,NO_FORWARDING,6,0.6671991527376223,0.7029634734665747,0.035811109459973296,0.03953802816901444,0,0,2.56629653821032,2.0
30,0.25,NO_FORWARDING,7,0.6744734231767876,0.7038690476190477,0.03499785191051436,0.038578403755868865,0,0,2.685341123904451,2.0
30,0.25,NO_FORWARDING,8,0.7393131268228765,0.7723283427981414,0.04997517435393693,0.054996336996338116,0,0,2.8081663139549358,2.0
30,0.25,NO_FORWARDING,9,0.7453988704194027,0.7783417935702199,0.04607857773621755,0.05086384976525894,0,0,2.7231344279802427,2.0
30,0.25,MULTI_HOP,0,0.6778806820928401,0.7167630057803468,0.07754231770387339,0.08174603174603158,0,0,10.202843273231622,9.0
30,0.25,MULTI_HOP,1,0.7379789513924128,0.7736464448793215,0.11044826465794251,0.11846060606060602,0,0,11.971033068443989,11.0
30,0.25,MULTI_HOP,2,0.7235502236017243,0.7524163568773234,0.10844265142140581,0.11521584158415805,0,0,11.583959899749374,11.0
30,0.25,MULTI_HOP,3,0.7880044450402364,0.8209916291049582,0.13222886873382597,0.14133626373626362,0,0,14.65065996228787,13.0
30,0.25,MULTI_HOP,4,0.7455716793825071,0.775330396475771,0.13143345684588964,0.14193893129770974,0,0,13.01817339969904,12.0
30,0.25,MULTI_HOP,5,0.7904139040433752,0.8175355450236966,0.14595615803894116,0.15714114114113986,0,0,13.942375791393927,13.0
30,0.25,MULTI_HOP,6,0.7569089998186869,0.7994248741912293,0.1123849700349016,0.12056393442622974,0,0,13.617867666755961,13.0
30,0.25,MULTI_HOP,7,0.7560336618632391,0.7789543348775645,0.13039839796532657,0.13646748971193295,0,0,12.206415620641563,11.0
30,0.25,MULTI_HOP,8,0.7615464557673046,0.7919191919191919,0.1213564066604775,0.13025787545787518,0,0,13.087123147675014,12.0
30,0.25,MULTI_HOP,9,0.7873202275122804,0.8155286343612335,0.15962537593452206,0.1687030303030302,0,0,15.026281913752413,14.0
30,0.5,NO_FORWARDING,0,0.8134349098182785,0.8576821442053605,0.07049717438691602,0.07715305164319303,0,0,2.598634869807028,2.0
30,0.5,NO_FORWARDING,1,0.8222385296421779,0.8625042647560559,0.07549338218583572,0.08248058608058272,0,0,2.676052928836534,2.0
30,0.5,NO_FORWARDING,2,0.805635468389817,0.8405443126308444,0.07406341148765207,0.08117491749174487,0,0,2.6990119077780594,2.0
30,0.5,NO_FORWARDING,3,0.8309264695968828,0.8701037830599263,0.07799471816526515,0.08441318681318263,0,0,2.605621672408393,2.0
30,0.5,NO_FORWARDING,4,0.8140102474856284,0.8476464247215235,0.07458404035971442,0.08163369963369647,0,0,2.60645054854409,2.0
30,0.5,NO_FORWARDING,5,0.826423034253871,0.8657067293564502,0.08348332930560899,0.09094084507042033,0,0,2.8243515957844383,2.0
30,0.5,NO_FORWARDING,6,0.821201040638642,0.8614232209737828,0.07541772695229172,0.08265164319248743,0,0,2.6351189046360797,2.0
30,0.5,NO_FORWARDING,7,0.8320174560140994,0.865199876045863,0.08148234024359423,0.08916995305164169,0,0,2.7217009234435507,2.0
30,0.5,NO_FORWARDING,8,0.81828203217532,0.8537590113285273,0.08069471688237197,0.08786885245901738,0,0,2.6020966271649955,2.0
30,0.5,NO_FORWARDING,9,0.8132964306459772,0.8432930705657978,0.08092281064638865,0.08782483660130862,0,0,2.744012321909896,2.0
30,0.5,MULTI_HOP,0,0.8931527650228628,0.9387890884896873,0.3323893346376519,0.35732903225806373,0,0,18.725994615614717,18.0
30,0.5,MULTI_HOP,1,0.8562072868828052,0.8985785631963119,0.25929086613807545,0.27781621621621144,0,0,17.45294248939811,16.0
30,0.5,MULTI_HOP,2,0.8861344683575216,0.9284531301755549,0.30452499792821713,0.32682798353909226,0,0,18.059319914989374,17.0
30,0.5,MULTI_HOP,3,0.8781759013680384,0.9213523131672597,0.30055464979792046,0.31960840840840127,0,0,17.986357170567697,17.0
30,0.5,MULTI_HOP,4,0.8967206798478559,0.9448160535117057,0.3223266380914535,0.3455426997245119,0,0,19.025932129784724,18.0
30,0.5,MULTI_HOP,5,0.8783105079939637,0.9215554810593363,0.3127120722720081,0.33558547854784915,0,0,19.27629013388795,18.0
30,0.5,MULTI_HOP,6,0.538266304898105,0.5497420781134856,0.02658208997842652,0.02849696969696998,0,0,4.621467227901383,4.0
30,0.5,MULTI_HOP,7,0.3817755832845204,0.38091216216216217,0.021294293257566467,0.023079781420765003,0,0,3.9824738793394,3.0
30,0.5,MULTI_HOP,8,0.45926206671893066,0.46444644464446444,0.019653433944488805,0.021323943661971927,0,0,4.193161149508913,4.0
